n_neighbors,weights,metric,p,train_accuracy,test_accuracy,test_error,test_f1,test_precision,test_recall,cv_mean,cv_std,overfit_gap
25,distance,minkowski,2.0,1.0,0.85,0.15000000000000002,0.8543689320388349,0.8301886792452831,0.88,0.8163717805151176,0.04584653146976279,0.15000000000000002
25,distance,minkowski,2.5,1.0,0.845,0.15500000000000003,0.8502415458937198,0.822429906542056,0.88,0.8142441209406496,0.047846336493211024,0.15500000000000003
25,distance,minkowski,3.0,1.0,0.845,0.15500000000000003,0.8502415458937198,0.822429906542056,0.88,0.8142441209406496,0.047846336493211024,0.15500000000000003
30,uniform,euclidean,,0.8291139240506329,0.845,0.15500000000000003,0.8516746411483254,0.8165137614678899,0.89,0.8100111982082867,0.041707251337008824,-0.015886075949367084
30,uniform,manhattan,,0.8396624472573839,0.835,0.16500000000000004,0.8421052631578947,0.8073394495412844,0.88,0.8142441209406494,0.03861978744508534,0.0046624472573839615
30,uniform,minkowski,1.0,0.8396624472573839,0.835,0.16500000000000004,0.8421052631578947,0.8073394495412844,0.88,0.8142441209406494,0.03861978744508534,0.0046624472573839615
30,uniform,minkowski,1.5,0.8375527426160337,0.84,0.16000000000000003,0.8461538461538461,0.8148148148148148,0.88,0.8121164613661813,0.043501221258665394,-0.002447257383966228
30,uniform,minkowski,2.0,0.8291139240506329,0.845,0.15500000000000003,0.8516746411483254,0.8165137614678899,0.89,0.8100111982082867,0.041707251337008824,-0.015886075949367084
30,uniform,minkowski,2.5,0.8291139240506329,0.845,0.15500000000000003,0.8516746411483254,0.8165137614678899,0.89,0.807905935050392,0.04544561295980383,-0.015886075949367084
30,uniform,minkowski,3.0,0.8291139240506329,0.845,0.15500000000000003,0.8516746411483254,0.8165137614678899,0.89,0.8036954087346025,0.043503388976010623,-0.015886075949367084
30,distance,euclidean,,1.0,0.845,0.15500000000000003,0.8502415458937198,0.822429906542056,0.88,0.820582306830907,0.047967477812374544,0.15500000000000003
30,distance,manhattan,,1.0,0.825,0.17500000000000004,0.8341232227488151,0.7927927927927928,0.88,0.8227099664053752,0.041092535966134415,0.17500000000000004
30,distance,minkowski,1.0,1.0,0.825,0.17500000000000004,0.8341232227488151,0.7927927927927928,0.88,0.8227099664053752,0.041092535966134415,0.17500000000000004
30,distance,minkowski,1.5,1.0,0.835,0.16500000000000004,0.8421052631578947,0.8073394495412844,0.88,0.8226875699888018,0.04532835532451908,0.16500000000000004
30,distance,minkowski,2.0,1.0,0.845,0.15500000000000003,0.8502415458937198,0.822429906542056,0.88,0.820582306830907,0.047967477812374544,0.15500000000000003
30,distance,minkowski,2.5,1.0,0.84,0.16000000000000003,0.8461538461538461,0.8148148148148148,0.88,0.8163717805151176,0.04584653146976279,0.16000000000000003
30,distance,minkowski,3.0,1.0,0.84,0.16000000000000003,0.8461538461538461,0.8148148148148148,0.88,0.8184770436730122,0.048131353033215356,0.16000000000000003
35,uniform,euclidean,,0.8312236286919831,0.825,0.17500000000000004,0.8325358851674641,0.7981651376146789,0.87,0.8184322508398656,0.046048557497371724,0.0062236286919831185
35,uniform,manhattan,,0.8312236286919831,0.84,0.16000000000000003,0.8476190476190476,0.8090909090909091,0.89,0.8121164613661813,0.04400769910635241,-0.008776371308016895
35,uniform,minkowski,1.0,0.8312236286919831,0.84,0.16000000000000003,0.8476190476190476,0.8090909090909091,0.89,0.8121164613661813,0.04400769910635241,-0.008776371308016895
35,uniform,minkowski,1.5,0.8291139240506329,0.82,0.18000000000000005,0.8301886792452831,0.7857142857142857,0.88,0.8142217245240762,0.04259984476233305,0.009113924050632938
35,uniform,minkowski,2.0,0.8312236286919831,0.825,0.17500000000000004,0.8325358851674641,0.7981651376146789,0.87,0.8184322508398656,0.046048557497371724,0.0062236286919831185
35,uniform,minkowski,2.5,0.8291139240506329,0.835,0.16500000000000004,0.8421052631578947,0.8073394495412844,0.88,0.8142665173572228,0.04333956027557169,-0.0058860759493670756
35,uniform,minkowski,3.0,0.8248945147679325,0.83,0.17000000000000004,0.8380952380952381,0.8,0.88,0.8184770436730122,0.04577139386787955,-0.0051054852320674415
35,distance,euclidean,,1.0,0.825,0.17500000000000004,0.8341232227488151,0.7927927927927928,0.88,0.8184546472564389,0.045419711938254954,0.17500000000000004
35,distance,manhattan,,1.0,0.825,0.17500000000000004,0.8341232227488151,0.7927927927927928,0.88,0.8247928331466964,0.042940630280457914,0.17500000000000004
35,distance,minkowski,1.0,1.0,0.825,0.17500000000000004,0.8341232227488151,0.7927927927927928,0.88,0.8247928331466964,0.042940630280457914,0.17500000000000004
35,distance,minkowski,1.5,1.0,0.825,0.17500000000000004,0.8341232227488151,0.7927927927927928,0.88,0.8226875699888018,0.04532835532451908,0.17500000000000004
35,distance,minkowski,2.0,1.0,0.825,0.17500000000000004,0.8341232227488151,0.7927927927927928,0.88,0.8184546472564389,0.045419711938254954,0.17500000000000004
35,distance,minkowski,2.5,1.0,0.83,0.17000000000000004,0.8380952380952381,0.8,0.88,0.8163493840985442,0.04549439397389622,0.17000000000000004
35,distance,minkowski,3.0,1.0,0.835,0.16500000000000004,0.8421052631578947,0.8073394495412844,0.88,0.8163717805151176,0.04584653146976279,0.16500000000000004
40,uniform,euclidean,,0.8291139240506329,0.825,0.17500000000000004,0.8309178743961353,0.8037383177570093,0.86,0.8099888017917133,0.04733706098318718,0.004113924050632933
40,uniform,manhattan,,0.8248945147679325,0.82,0.18000000000000005,0.8269230769230769,0.7962962962962963,0.86,0.8099888017917134,0.05552389220582321,0.004894514767932567
40,uniform,minkowski,1.0,0.8248945147679325,0.82,0.18000000000000005,0.8269230769230769,0.7962962962962963,0.86,0.8099888017917134,0.05552389220582321,0.004894514767932567
40,uniform,minkowski,1.5,0.8354430379746836,0.83,0.17000000000000004,0.8349514563106796,0.8113207547169812,0.86,0.8163269876819708,0.05069889834882317,0.0054430379746835955
40,uniform,minkowski,2.0,0.8291139240506329,0.825,0.17500000000000004,0.8309178743961353,0.8037383177570093,0.86,0.8099888017917133,0.04733706098318718,0.004113924050632933
40,uniform,minkowski,2.5,0.8312236286919831,0.82,0.18000000000000005,0.8269230769230769,0.7962962962962963,0.86,0.8100335946248599,0.03992129685492946,0.011223628691983123
40,uniform,minkowski,3.0,0.8354430379746836,0.82,0.18000000000000005,0.8269230769230769,0.7962962962962963,0.86,0.8100111982082867,0.04170725133700882,0.015443037974683604
40,distance,euclidean,,1.0,0.825,0.17500000000000004,0.8325358851674641,0.7981651376146789,0.87,0.8226875699888018,0.04069112716142,0.17500000000000004
40,distance,manhattan,,1.0,0.82,0.18000000000000005,0.8301886792452831,0.7857142857142857,0.88,0.8247928331466964,0.042940630280457914,0.18000000000000005
40,distance,minkowski,1.0,1.0,0.82,0.18000000000000005,0.8301886792452831,0.7857142857142857,0.88,0.8247928331466964,0.042940630280457914,0.18000000000000005
40,distance,minkowski,1.5,1.0,0.83,0.17000000000000004,0.8380952380952381,0.8,0.88,0.8184546472564389,0.045419711938254954,0.17000000000000004
40,distance,minkowski,2.0,1.0,0.825,0.17500000000000004,0.8325358851674641,0.7981651376146789,0.87,0.8226875699888018,0.04069112716142,0.17500000000000004
40,distance,minkowski,2.5,1.0,0.82,0.18000000000000005,0.8301886792452831,0.7857142857142857,0.88,0.8206047032474805,0.043987611256855026,0.18000000000000005
40,distance,minkowski,3.0,1.0,0.82,0.18000000000000005,0.8301886792452831,0.7857142857142857,0.88,0.8227099664053752,0.041092535966134415,0.18000000000000005
45,uniform,euclidean,,0.8312236286919831,0.83,0.17000000000000004,0.8365384615384616,0.8055555555555556,0.87,0.8015677491601345,0.05015377338636218,0.001223628691983114
45,uniform,manhattan,,0.8312236286919831,0.81,0.18999999999999995,0.8173076923076923,0.7870370370370371,0.85,0.8036730123180291,0.051570267175678766,0.02122362869198302
45,uniform,minkowski,1.0,0.8312236286919831,0.81,0.18999999999999995,0.8173076923076923,0.7870370370370371,0.85,0.8036730123180291,0.051570267175678766,0.02122362869198302
45,uniform,minkowski,1.5,0.8248945147679325,0.83,0.17000000000000004,0.8365384615384616,0.8055555555555556,0.87,0.8036954087346025,0.045979903225186664,-0.0051054852320674415
45,uniform,minkowski,2.0,0.8312236286919831,0.83,0.17000000000000004,0.8365384615384616,0.8055555555555556,0.87,0.8015677491601345,0.05015377338636218,0.001223628691983114
45,uniform,minkowski,2.5,0.8312236286919831,0.83,0.17000000000000004,0.8365384615384616,0.8055555555555556,0.87,0.8058230683090704,0.04389080560872237,0.001223628691983114
45,uniform,minkowski,3.0,0.8312236286919831,0.825,0.17500000000000004,0.8325358851674641,0.7981651376146789,0.87,0.8058006718924972,0.049260224565140454,0.0062236286919831185
